"filename", "language", "JavaScript", "JavaScript React", "CSS", "XML", "Markdown", "JSON", "HTML", "Properties", "comment", "blank", "total"
"d:\maturski\foodsprint_frontend\src\components\componentsMain\ProfileAvatar.jsx", "JavaScript React", 0, 101, 0, 0, 0, 0, 0, 0, 0, 15, 116
"d:\maturski\foodsprint_frontend\src\components\componentsMain\asideMain.css", "CSS", 0, 0, 135, 0, 0, 0, 0, 0, 0, 27, 162
"d:\maturski\foodsprint_frontend\src\components\componentsMain\carouselMain.css", "CSS", 0, 0, 59, 0, 0, 0, 0, 0, 0, 10, 69
"d:\maturski\foodsprint_frontend\src\components\componentsMain\foodSprintLogoMain.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\maturski\foodsprint_frontend\src\components\componentsMain\glavnoMain.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"d:\maturski\foodsprint_frontend\src\components\componentsMain\kosturMain.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 0, 0, 15, 96
"d:\maturski\foodsprint_frontend\src\components\componentsMain\mainSearch.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 0, 0, 13, 94
"d:\maturski\foodsprint_frontend\src\components\componentsMain\navigacijaMain.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 0, 0, 11, 59
"d:\maturski\foodsprint_frontend\src\components\componentsMain\restoranCard.css", "CSS", 0, 0, 58, 0, 0, 0, 0, 0, 0, 10, 68
"d:\maturski\foodsprint_frontend\src\components\componentsMain\restorani.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\maturski\foodsprint_frontend\src\components\componentsPanel\Narudzbe.jsx", "JavaScript React", 0, 41, 0, 0, 0, 0, 0, 0, 1, 4, 46
"d:\maturski\foodsprint_frontend\src\components\componentsPanel\OrderBoxAdmin.jsx", "JavaScript React", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\maturski\foodsprint_frontend\src\components\componentsPanel\Panel.jsx", "JavaScript React", 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\maturski\foodsprint_frontend\src\components\componentsPanel\panel.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\maturski\foodsprint_frontend\src\components\componentsProfile\MyOrders.jsx", "JavaScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\maturski\foodsprint_frontend\src\components\componentsProfile\OrderBox.jsx", "JavaScript React", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\maturski\foodsprint_frontend\src\components\componentsProfile\OrdersPage.jsx", "JavaScript React", 0, 44, 0, 0, 0, 0, 0, 0, 1, 5, 50
"d:\maturski\foodsprint_frontend\src\components\componentsProfile\orderBox.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\maturski\foodsprint_frontend\src\config\roles.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\maturski\foodsprint_frontend\src\features\auth\LogComponent.jsx", "JavaScript React", 0, 91, 0, 0, 0, 0, 0, 0, 0, 9, 100
"d:\maturski\foodsprint_frontend\src\features\auth\Login.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 14, 141
"d:\maturski\foodsprint_frontend\src\features\auth\PersistLogin.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 9, 11, 73
"d:\maturski\foodsprint_frontend\src\features\auth\Prefetch.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\maturski\foodsprint_frontend\src\features\auth\RegisterComponent.jsx", "JavaScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\maturski\foodsprint_frontend\src\features\auth\RegisterForm.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 4, 10, 64
"d:\maturski\foodsprint_frontend\src\features\auth\RequireAuth.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"d:\maturski\foodsprint_frontend\src\features\auth\authApiSlice.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 2, 3, 52
"d:\maturski\foodsprint_frontend\src\features\auth\authSlice.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\maturski\foodsprint_frontend\src\features\auth\logIn.css", "CSS", 0, 0, 85, 0, 0, 0, 0, 0, 0, 14, 99
"d:\maturski\foodsprint_frontend\src\features\auth\slike\blobAnim.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\maturski\foodsprint_frontend\src\features\menus\AsideRestoran.jsx", "JavaScript React", 0, 80, 0, 0, 0, 0, 0, 0, 0, 7, 87
"d:\maturski\foodsprint_frontend\src\features\menus\CartItemRestoran.jsx", "JavaScript React", 0, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
"d:\maturski\foodsprint_frontend\src\features\menus\MenuItem.jsx", "JavaScript React", 0, 59, 0, 0, 0, 0, 0, 0, 0, 7, 66
"d:\maturski\foodsprint_frontend\src\features\menus\Menus.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\maturski\foodsprint_frontend\src\features\menus\MenusList.jsx", "JavaScript React", 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\maturski\foodsprint_frontend\src\features\menus\NewMenu.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"d:\maturski\foodsprint_frontend\src\features\menus\NewMenuForm.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 12, 106
"d:\maturski\foodsprint_frontend\src\features\menus\RestoranPage.jsx", "JavaScript React", 0, 55, 0, 0, 0, 0, 0, 0, 2, 7, 64
"d:\maturski\foodsprint_frontend\src\features\menus\asideRestoran.css", "CSS", 0, 0, 190, 0, 0, 0, 0, 0, 0, 31, 221
"d:\maturski\foodsprint_frontend\src\features\menus\menuItem.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 0, 0, 6, 42
"d:\maturski\foodsprint_frontend\src\features\menus\menusApiSlice.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"d:\maturski\foodsprint_frontend\src\features\menus\slike\circleScatter.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\maturski\foodsprint_frontend\src\features\menus\slike\groceries.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\maturski\foodsprint_frontend\src\features\orders\NewOrder.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 9, 9, 28
"d:\maturski\foodsprint_frontend\src\features\orders\NewOrderForm.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 14, 105
"d:\maturski\foodsprint_frontend\src\features\orders\orderClicked.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"d:\maturski\foodsprint_frontend\src\features\orders\ordersApiSlice.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 4, 8, 87
"d:\maturski\foodsprint_frontend\src\features\restorani\EditRestoran.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\maturski\foodsprint_frontend\src\features\restorani\EditRestoranForm.js", "JavaScript", 188, 0, 0, 0, 0, 0, 0, 0, 1, 22, 211
"d:\maturski\foodsprint_frontend\src\features\restorani\NewRestoran.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 9, 9, 28
"d:\maturski\foodsprint_frontend\src\features\restorani\NewRestoranForm.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 15, 122
"d:\maturski\foodsprint_frontend\src\features\restorani\RestoranCard.jsx", "JavaScript React", 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 49
"d:\maturski\foodsprint_frontend\src\features\restorani\RestoranOwner.jsx", "JavaScript React", 0, 85, 0, 0, 0, 0, 0, 0, 0, 10, 95
"d:\maturski\foodsprint_frontend\src\features\restorani\RestoranPageList.jsx", "JavaScript React", 0, 27, 0, 0, 0, 0, 0, 0, 0, 9, 36
"d:\maturski\foodsprint_frontend\src\features\restorani\Restorani.jsx", "JavaScript React", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\maturski\foodsprint_frontend\src\features\restorani\RestoraniEdit.jsx", "JavaScript React", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\maturski\foodsprint_frontend\src\features\restorani\RestoraniEditList.jsx", "JavaScript React", 0, 27, 0, 0, 0, 0, 0, 0, 0, 9, 36
"d:\maturski\foodsprint_frontend\src\features\restorani\RestoraniList.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 0, 0, 22, 10, 66
"d:\maturski\foodsprint_frontend\src\features\restorani\editRestoranForm.css", "CSS", 0, 0, 91, 0, 0, 0, 0, 0, 0, 17, 108
"d:\maturski\foodsprint_frontend\src\features\restorani\newRestoranForm.css", "CSS", 0, 0, 79, 0, 0, 0, 0, 0, 0, 16, 95
"d:\maturski\foodsprint_frontend\src\features\restorani\restoraniApiSlice.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 4, 8, 92
"d:\maturski\foodsprint_frontend\src\features\users\EditUser.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"d:\maturski\foodsprint_frontend\src\features\users\EditUserForm.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 1, 24, 186
"d:\maturski\foodsprint_frontend\src\features\users\NewUserForm.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 0, 1, 19, 137
"d:\maturski\foodsprint_frontend\src\features\users\User.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"d:\maturski\foodsprint_frontend\src\features\users\UsersList.jsx", "JavaScript React", 0, 52, 0, 0, 0, 0, 0, 0, 1, 10, 63
"d:\maturski\foodsprint_frontend\src\features\users\usersApiSlice.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 4, 8, 87
"d:\maturski\foodsprint_frontend\src\hooks\useAuth.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 3, 6, 49
"d:\maturski\foodsprint_frontend\src\hooks\usePersist.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\maturski\foodsprint_frontend\src\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
"d:\maturski\foodsprint_frontend\src\pages\CheckoutPage\CheckoutPage.jsx", "JavaScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\maturski\foodsprint_frontend\src\pages\DostavljacPage\Dostavljac.jsx", "JavaScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\maturski\foodsprint_frontend\src\pages\LandingPage\Landing.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\maturski\foodsprint_frontend\src\pages\LogInPage\LogIn.jsx", "JavaScript React", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\maturski\foodsprint_frontend\src\pages\MainPage\Main.jsx", "JavaScript React", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\maturski\foodsprint_frontend\src\pages\Restoranipage\RestoraniPage.jsx", "JavaScript React", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\maturski\foodsprint_frontend\src\pages\SignUpPage\SignUp.jsx", "JavaScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\maturski\foodsprint_frontend\src\pages\UsersPage\Users.jsx", "JavaScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\maturski\foodsprint_frontend\src\redux\cartStore.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 1827, 3041, 2062, 15, 38, 18069, 32, 1, 119, 1009, 26213
